"","text"
"1","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"2"," terimakasihbpjs  ayooo bantu  petisi  simulut jamban   ditangkap"
"3","  membantu teman  orang terdekat    membantu orang    lingkar pertemanan  tren"
"4","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"5","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"6","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"7"," malam   share  lamaran kerja   terimakasihbpjs juni tonightshowcomeback "
"8","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"9","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"10","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"11","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"12","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"13","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"14","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"15","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"16","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"17","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"18","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"19","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"20","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"21","  org yg  pancasilais   kalo paham pancasila  gak ngutang kalo  paham gak naikan bpjs kalo  paham ga"
"22"," malam   share  lamaran kerja   terimakasihbpjs juni tonightshowcomeback "
"23","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"24","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"25"," malam   share  lamaran kerja   terimakasihbpjs juni tonightshowcomeback "
"26","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"27","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"28","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"29","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"30","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
"31","    the simpsons  cerita   kenyataan ulah      elit global  dcblackou"
